 number_of_ancestors | child_occurences 
               19151 |                5
               19753 |                1
               19754 |                6
               19756 |                1
               19757 |                1
               20374 |                1
               20375 |                6
               20518 |                1
               20519 |                5
               21463 |                1
               21464 |                5
               21886 |                1
               21887 |                5
               22852 |                1
               22853 |                6
               22855 |                1
               22856 |                1
               22921 |                1
               22922 |                5
               23254 |                1
               23255 |                6
               23776 |                1
               23777 |                6
               23785 |                1
               23786 |                6
               23848 |                1
               23849 |                6
               24622 |                1
               24623 |                6
               24630 |                1
               24631 |                5
               25468 |                1
               25469 |                6
               26233 |                1
               26234 |                5
               28015 |                1
               28016 |                5
               28618 |                1
               28619 |                5
               30562 |                1
               30563 |                6
               30569 |                1
               30570 |                5
               31003 |                1
               31004 |                5
               33388 |                1
               33389 |                6
               35773 |                1
               35774 |                5
               38158 |                1
               38159 |                5
               40543 |                1
               40544 |                6
               42928 |                1
               42929 |                6
               42937 |                1
               42938 |                5
               45715 |                1
               45716 |                4
               47572 |                1
               47573 |                6
               49262 |                1
               49263 |                6
               61140 |                1
               61141 |                5
               71359 |                1
               71360 |                6
               71368 |                1
               71369 |                6
               73894 |                1
               73895 |                6
               85876 |                1
               85877 |                6
               91711 |                1
               91712 |                6
               98526 |                1
               98527 |                6
              122282 |                1
              122283 |                5
              123158 |                1
              123159 |                6
              128815 |                1
              128816 |                6
              142738 |                1
              142739 |                6
              147790 |                1
              147791 |                6
              147798 |                1
              147799 |                5
              152853 |                1
              152854 |                6
              171754 |                1
              171755 |                6
              183424 |                1
              183425 |                5
              213995 |                1
              213996 |                6
              214108 |                1
              214109 |                6
              214693 |                1
              214694 |                6
              244566 |                1
              244567 |                6
              257632 |                1
              257633 |                6
              275137 |                1
              275138 |                5
              285478 |                1
              285479 |                6
              295598 |                1
              295599 |                6
              295601 |                1
              295602 |                1
              300571 |                1
              300572 |                6
              300580 |                1
              300581 |                5
              305708 |                1
              305709 |                6
              336279 |                1
              336280 |                5
              356848 |                1
              356849 |                6
              356857 |                1
              356858 |                6
              366850 |                1
              366851 |                6
              397421 |                1
              397422 |                5
              427992 |                1
              427993 |                6
              458563 |                1
              458564 |                5
              489134 |                1
              489135 |                6
              519705 |                1
              519706 |                5
              550276 |                1
              550277 |                6
              580847 |                1
              580848 |                6
              580854 |                1
              580855 |                5
              591206 |                1
              591207 |                4
              601162 |                1
              601163 |                6
              713716 |                1
              713717 |                6
              713725 |                1
              713726 |                6
              713728 |                1
              713729 |                1
              901744 |                1
              901745 |                6
              901747 |                1
              901748 |                1
             1161710 |                1
             1161711 |                5
             1427461 |                1
             1427462 |                4
             1742566 |                1
             1742567 |                5
             1803499 |                1
             1803500 |                4
             2323422 |                1
             2323423 |                5
             2904278 |                1
             2904279 |                6
             2904281 |                1
             2904282 |                1
             5808565 |                1
             5808566 |                4
(1554 rows)

